Tema
Consejo Nacional
Consejo Nacional De Seguridad
Consejo Técnico
Consejo Turístico
Consejos electorales
Conservación Biodiversidad
Conservación de especies
Conservación de Polinizadores
Conservación del Patrimonio Cultural
Constancia de solventación
Construcción de Cereso
Construcción de puente
Consulta Ciudadana
Consulta Indígena
Consulta infantil
Consumo De Drogas
Contaminación de acuíferos
Contaminación de río
Contaminación sonora
Contaminación Tula
Contraloría Social
Contrataciones
Control animal
Control de confianza
Control de enfermedades
Control de incendios
Control de plagas
Control lirio acuático
Convenio De Colaboración
Convivencia Escolar
Convocatoria
Coordinación entre poderes
Coordinación Interinstitucional
COPLADEM
Corralones
Corredor artesanal
Corrupción
Covid 19
Crecimiento Económico
Credencialización
Crematorio
Cren Benito Juárez
Crimen Organizado
Cruz Azul
Cruz Roja
Cuarta Transformación
Cuartel GN
Cuentas UAEH
Cuernos Chuecos
Cuerpos sin identificar
Cuidadores De Adultos Mayores
Cultura del agua
CURP Biométrica
Curso artesanal
Damnificados Tula
Deceso
Deceso de funcionario
Deceso de policía
Deceso docente
Deceso periodista
Deceso turista
Declaración patrimonial
Declaratoria ambiental Tula-Tepeji
Declaratoria de emergencia
Decomiso de piratería
Defensoría
Defensoría Pública
Deficiencias Centro de Salud
Deficiencias Ceresos
Deficiencias en obra
Deficiencias PC
Deficiencias Policía Municipal
Deficiencias transporte público
Deficiencias Tuzobús
Déficit De Personal
Déficit policial
Deforestación
Delitos de género
Delitos Electorales
Delitos servidores públicos
Demanda Laboral
Dengue
Denuncia Alcalde
Denuncia Exalcalde
Denuncia Sutsmp
Denuncias
Deportaciones
Deporte adaptado
Deportistas
Derechos laborales
Derrama económica
Derrumbe Carretero
Derrumbes por lluvias
Desafuero
Desapariciones
Desarrollo habitacional
Desarrollo inclusivo
Desarrollo Urbano
Desavenencias
Desayunos Escolares
Desazolve
Desbordamiento de río
Descarrilamiento De Tren
Deserción escolar
Desfile cívico
Desfogue De Presa
Designación
Deslave
Deslaves por lluvias
Deslealtad
Despidos injustificados
Desplegado Conago
Desplegado Gobernadores
Despojo
Destitución
Destitución de alcalde
Desvío de recursos
Detención
Detención abuso policiaco
Detención agresión a ministerial
Detención Alcalde
Detención de funcionario
Detención Diputado
Detención ejecución alcalde
Detención Estafa Siniestra
Detención Feminicida
Detención Regidor
Detención SUTSMP
Detenciones
Deuda Heredada
Deuda Pública
Deudor Alimentario
Develación de placa
Día de la Mujer Indígena
Día De Muertos
Día del Charro
Día Internacional Lenguas Maternas
Día Naranja
Día sin auto
Días Internacionales
Digitalización de trámites
Dinámica demográfica
Diputado suplente
Dirigencia Partidista
Dirigencia SUTSPEEH
Disciplina financiera
Discriminación
Disculpa pública
Disminución salarial
Disposición de basura
Disposición De Medicamentos
Disposición de residuos
Disputa Por Predio
Distribuidor Vial
Diversidad sexogenérica
Doble Plaza
Donación De Órganos
Donación De Predio
Donación de sangre
Donación de sueldo
Donación de víveres
Donación Pemex
Dren Pluvial
Drenaje
Drenaje tapado
Droga en escuelas
Economía Circular
Economía social
Ecoturismo
Edad
Educación Ambiental
Educación artística
Educación en línea
Educación especial
Educación Migrante
Educación Para Adultos
Educación para la salud
Educación socioemocional
Ejecución Alcalde
Ejecución de obras
Ejecuciones
El Huixmí
El Mexe
El Yathé
Elección de delegados
Elección Judicial
Elecciones
Embajadores de la juventud
Embarazo adolescente
Embargo
EMEH
Empoderamiento económico
Emprendimiento
Empresa contaminante
Encuentro académico
Encuentro Cultural
Encuentro De Proveedores
Energías renovables
Enfrentamiento
Enfrentamiento con policías
Enfrentamiento Político
Enlaces legislativos
Entrega de ambulancia
Entrega De Apoyos
Entrega De Cacao
Entrega De Certificados
Entrega De Equipo
Entrega De Equipo De Cómputo
Entrega De Equipo Escolar
Entrega De Escrituras
Entrega de infraestructura escolar
Entrega de reconocimientos
Entrega de Tabletas
Entrega De Víveres
Entrega mobiliario escolar
Entrega recepción
Envejecimiento saludable
Equidad de género
Equipamiento Escolar
Equipamiento médico
Equipamiento policiaco
Erogaciones
Erradicación trabajo infantil
Erradicación Violencia De Género
Escrituración de escuelas
Escuela es nuestra
Escuela para padres
Escuelas Patito
Espacios de alimentación
Estacionamiento Estadio
Estacionamientos
Estadía Profesional
Estado Monarca
Estafa Siniestra
Estancia productiva
Estrategia de cambio climático
Estrategia de convivencia escolar
Estrategia de seguridad
Evaluación de desempeño
Evento académico
Evento Con Causa
Evento Cultural
Evento partidista
Evento político
Evento turístico
Excelencia Charra
Exención fiscal
Exhorto
Exhortó
Exigen destitución de director
Exigen destitución de docente
Exigen destitución de funcionario
Exigen director
Exigen Esclarecer Feminicidio
Exigen esclarecer homicidio
Exigen localización de persona
Exigen docente
Exigen pavimentación
Exigen rehabilitación vial
Exigen Restitución De Docente
Exigen seguridad
Exigencia de obra
Explosión Cajero
Explosión De Ducto
Explosión De Pipa
Explosión Pirotecnia
Explosión por huachicol
Explosión Tlahuelilpan
Expo Agroalimentaria
Expo Artesanal
Expo ciencia
Expo feria
Expo industrial
ExpoCiencias
Exportaciones
Exposición Artística
Exposición cultural
Exposición Fotográfica
Expropiación
Extinción de dominio
Extinción ITAIH
Extorsión
FAISM
Falla geológica
Fallas CFE
Falta de apoyo a deportistas
Falta de docente
Falta de medicamentos
Falta de puente
Falta de servicios públicos
Falta de transporte
Faltas Administrativas
Farmacovigilancia
FASP
Felicitaciones
Feminicidio
Fentanilo
Feria De Empleo
Feria de la Salud
Feria de Resultados
Feria del Juguete
Feria Del Libro
Feria Pachuca
Feria Patronal
Festejo
Festival Cultural
Festival de Cine
Festival de la Huasteca
Festival Del Paste
Festival Gastronómico
Festival jóvenes
Festival Turístico
Ficha De Búsqueda
Fiesta patronal
Fiestas decembrinas
Fiestas Patrias
Financiamiento
Financiamiento a Partidos
Financiamiento municipios
Firma De Convenio
Fomento A La Lectura
Fomento Al Deporte
Fondo de desastres
Fondo de Participaciones
Fondo Indígena
Fondo Municipal
Formación policial
Fortalecimiento educativo
Fortalecimiento laboral
Fortalecimiento Policiaco
Fortamun
Fracking
Franeleros
Fraude
Fuga De Agua
Fuga de cerebros
Fuga De Drenaje
Fuga de hidrocarburo
Fumigación mosco Culex
Funcionaria denuncia agresión
Gabinete Social
Galardón
Garantía de obra
Gaschicol
Generación De Empleo
Geoparque Comarca Minera
Gerardo Sosa
Gestión por Competencia
Gestión por Competencias
Glorieta 24 Horas
Gobernabilidad
Golpeteo político
Graduación
Grito De Independencia
Grupo Universidad
Guerra sucia
Gusano Descortezador
Habilitación De Albergue
Habilitación de albergues
Hackeo
Hecho en Hidalgo
Hecho en México
Hidalgo Honesto
Hidarte
Homenaje póstumo
Homicidio de Policía
Homicidios
Hospital Actopan
Hospital del Niño
Hospital Oncológico
Hospital Tula
Hospital veterinario
Hostigamiento Laboral
Huachicol
Huelga
Huerto Urbano
Huixmí
Huracán Priscilla
Identificación de cadáveres
ILE
Imagen Urbana
Impago
Impericia
Imposición de delegados
Impugnación
Impulso a artesanos
Impulso a emprendedores
Impulso A La Ciencia
Impulso a la cultura
Impulso A La Educación
Impulso a la mujer
Impulso a mujeres emprendedoras
Impulso a Mujeres Investigadoras
Impulso al agro
Impulso al campo
Impulso al deporte
Impulso Al Turismo
IMSS Bienestar
Inacción policial
Inasistencia
Inatención
Inauguración De Empresa
Incendio de pastizales
Incendios forestales
Incendio por huachicol
Incendio vehículo
Incidencia Delictiva
incidente vial
Inclusión
Inclusión sexogenérica
Inconformidad por obra
Inconstitucionalidad
Incumplimiento de campaña
Incumplimiento de obra
INDEPH
Indicación geográfica
Índice De Actividad Industrial
Índice de desempeño municipal
Índice de impunidad
Índice De Pobreza
Índice de progreso
Influenza
Informalidad laboral
Informe Alcalde
Informe ASEH
Informe CDHEH
Informe De Gobierno
Informe de seguridad
Informe DIFH
Informe Fiscalía Anticorrupción
Informe Legislativo
Informe Regidor
Informe Sheinbaum
Informe TEEH
Informe TSJEH
Infraestructura en mal estado
Infraestructura Hidráulica
Infraestructura Turística
Infraestructura vial
Iniciativa
Innovación Turística
Inscripción
Inscripción a programas
Inseguridad
Inseguridad Carretera
Inspección a gaseras
Instalación de comité
Intento de linchamiento
Intercambio académico
Intercambio Artístico
Intermediarismo
Intervención Gráfica
Inundación Tula
Invasión de vivienda
Investigación académica
Investigación por corrupción
Investigación por feminicidio
Iras
Irregularidades alcalde
Irregularidades ASEH
Irregularidades en escuela
Irregularidades exalcalde
Jornada de cirugías
Jornada de salud
Jornada de salud visual
Jornada médica
Jornada por la paz
Jornadas Por La Paz
Juicio Político
Justa Académica
Justa Deportiva
Justicia Por Propia Mano
La Escuela es Nuestra
La Luz del Mundo
Labor destacada
Laboratorio de Control de Calidad
Laboratorio de Políticas Públicas
Laboratorio STEM
Laudos Laborales
Laudos Municipios
Lengua De Señas
Levantamiento De Cuerpo
Ley 40 horas
Ley Anticorrupción
Ley antidiscriminación
Ley De Aguas
Ley de cambio climático
Ley de Imagen Urbana
Ley De Ingresos
Ley de nepotismo
Ley de Protección a Periodistas
Ley del ISSSTE
Ley Silla
Liberación de detenido
Liberación de detenidos
Liberación Fauna Silvestre
Libertad de culto
Libertad de expresión
Licencia
Licencia de construcción
Licencia de Funcionamiento
Licitaciones
Limpieza Urbana
Linchamiento
Lirio Acuático
Localización de armamento
Localización de cuerpo
Localización de persona
Localización De Restos
Luminarias
Lunes Cívico
Macrocentro
Maestranza
Maestro de Inglés
Mal Desempeño
Mal uso de vehículo oficial
Mala atención
Mala atención médica
Mala atención MP
Malos manejos
Maltrato animal
Maltrato infantil
Mando Coordinado
Manejo De Redes Sociales
Manejo de residuos
Manifestación informe
Mano de obra calificada
Mantenimiento de semáforos
Marca turística
Marcha 25N
Medidas Cautelares
Medidores de agua
Mejora de vivienda
Mejora educativa
Mejoramiento de suelo
Menstruación Digna
Mes Del Adulto Mayor
México Canta
Migración
Migrantes
Miguel Osorio
Militancia Partidista
Minería
Modificación Presupuestal
Módulo electrónico
Monitoreo biológico
Monitoreo De Presas
Monitoreo De Río
Monitoreo De Ríos
Mosco Culex
Movilidad Académica
Movilidad incluyente
Movilidad laboral
Movilidad sustentable
Movilidad urbana
Muerte de empleado
Muerte en barandilla
Muerte en Cereso
Muerte En Galera
Muerte interno
Muerte Materna
Muerte por riña
Mujer Mipyme
Mujer Mipymes
Mujeres por la paz
Multa de tránsito
Multas
Multas IEEH
Multas INE
Multas Itaih
Multas Partidos
Multas PRI
Multas TEEH
multas verificación vehicular
Multihomicidio
Williams Trejo
Mundial De Futbol
Municipalización
Municipio promotor de la salud
Muralismo
Museos
Nacionales Conade
Narcolaboratorio
Narcomanta
Negligencia médica
Nepotismo
Noche de estrellas
Nombramientos
Nomenclaturas
Noticias falsas
Nueva Escuela Mexicana
Nuevas inversiones
Nuevo Hospital General
Nuevo modelo de gobierno
Obesidad
Obesidad infantil
Obra inconclusa
Obras De Infraestructura
Obras mal ejecutadas
Observaciones ASEH
Observaciones ASF
Obstrucción de la justicia
Ocupación Hotelera
Oferta académica
Oferta educativa
Oferta de empleo
Ola De Violencia
Omisión
Opacidad
Operadores de agua
Operativo de Seguridad
Operativo de transporte
Operativo FGR
Operativo Mochila
Operativo Policial
Operativo Rastrillo
Ordenamiento ecológico
Ordenamiento Territorial
Ordenamiento vial
Orquesta Sinfónica
OZMVM
Padrón de artesanos
Padrón vehicular
Pago De Agua
Pago de impuestos
Pago de Servicios
Palco estadio
Panteón Municipal
Paquete Hacendario
Paro laboral
Paranacionales Conade
Parcialidad
Paridad de género
Parlamento
Parlamento Infantil
Paro ITP
Paro nacional
Parque Ecológico Cubitos
Parque Ecológico Tula
Parque Fotovoltaico
Parque Urbano
Parque Vehicular
Parquímetros
Parteras Tradicionales
Participación Ciudadana
Participación social
Participaciones federales
Patio de transferencia
Patrimonio
Patrimonio cultural
Patrulla pirata
Pavimentación
Pavimentación hidráulica
PECDA
PED
Pelea transportistas
Pensión Del Bienestar
Pensión Mujeres Bienestar
Percepción de inseguridad
pérdida de registro
Pérdida de suelo agrícola
Perforación de pozo
Periodo vacacional
Permiso de construcción
Permiso de espectáculos
Persecución contra alcalde
Persecución policiaca
Persecución política
Personas desaparecidas
Perspectiva de género
Picteleo
Pilares
Pirotecnia
Pisal Ben Gurión
Piscicultura
Pista de hielo
Plagio
Plan Hídrico
Plan Nacional De Vivienda
Plan Nacional Hídrico
Planeación familiar
Planificación familiar
Planta Purificadora Solar
Pobreza laboral
Policía ebrio
Policía Turística
Polifórum
Polos del Bienestar
Ponencia
Precariedad laboral
Preceptos de Morena
Predial
Premio a la ciencia y tecnología
Premio Al Merito Deportivo
Premio Ciencia y Tecnología
Premio de cuento y poesía
Premio de innovación
Premio Estatal De La Juventud
Premio Estatal del Deporte
Premio Margarita Michelena
Premio Municipal
Prepotencia
Prerrogativas
Presa El Yathé
Presa Endhó
Presa Yathé
Presea
Presea nacional
Presentación Editorial
Preservación Lenguas Maternas
Prestadores de servicios
Presupuesto De Egresos
Presupuesto IEEH
Prevención cáncer de mama
Prevención de accidentes
Prevención De Adicciones
Prevención De Embarazo Adolescente
Prevención De Enfermedades
Prevención de Extorsión
Prevención De Riesgos
Prevención del delito
Prevención del suicidio
Prevención Meteorológica
Primer Año de Gobierno
Proceso alcalde
Proceso feminicidio
Proceso Por Feminicidio
Producción agrícola
Producción audiovisual
Producción de cempasúchil
Productividad legislativa
Profesionalización policial
Programas Del Bienestar
Programas Del Pueblo
Prohibición de pirotecnia
Promoción De La Salud
Promoción turística
Protección Animal
Protección Biodiversidad
Protección del menor
Protesta agrícola
Protesta campesina
Protesta de agricultores
Protesta de docentes
Protesta IDA
Protesta Por Agua
Protesta por baches
Protesta por obra
protestas por baches
Protocolo de seguridad
Proyectos Federales
Proyectos Ferroviarios
PTAR
Publicidad en puentes
Pueblos Mágicos
Puente aéreo
Puente Atirantado
Puentes Peatonales Dañados
Puesto de Mando Preventivo
Purificador De Agua
Queja CDHEH
Queja padres de familia
Queja transporte público
Quejas Tuzobús
Quejas alcaldes
Quejas Cdheh
Quejas padres de familia
Quejas transporte público
Quema de pastizales
Radiodifusoras
Rapiña
Rastro municipal
Reanudación de servicios
Recaudación
Recolección De Basura
Recomendación CV
Recomendaciones CDHEH
Reconocimiento
Reconstrucción de escuela
Reconstrucción del Tejido social
Recorte Operativo
Recuperación De Cuerpo
Recuperación De Espacios Públicos
Recuperación De Vehículos Robados
Recuperación Del Patrimonio
Recursos federales
Red de Mujeres
Reemplacamiento
Reestructuración
Reforestación
Reforma De Ley
Reforma Electoral
Refrendo Vehicular
Refuerzo De Seguridad
Refugio Invernal
Refugio para mujeres
Regaño
Regidor Suplente
Registro Familiar
Registro partidos
Regresa a clases con un árbol
Regreso A Clases
Regularización De Tierras
Regularización De Vehículos Turísticos
Rehabilitación animal
Rehabilitación carretera
Rehabilitación centro gerontológico
Rehabilitación Centros de Salud
Rehabilitación de espacios públicos
Rehabilitación de instalaciones
Rehabilitación De Mercados
Rehabilitación UBR
Rehabilitación UMF
Rehabilitación UPR
Rehabilitación Vial
Reincorporación Regidores
Reinserción social
Reintegración de recursos
Relleno Sanitario
Reloj De Pachuca
Remesas
Remodelación de instalaciones
Rendición de cuentas
Renovación De Dirigencia
Renovación de vigencia
Renovación dirigencia
Renuncia
Renuncia de dirigente
Renuncias PRI
Reparación bomba de agua
Reparación De Tubería
Repatriación
Represalias
Represión
Rescate Animal
Rescate de cuerpo
Rescate de especies
Rescate de persona
Rescate De Personas
Rescate secuestro
Residencia Temporal
Respaldo a Sheinbaum
Respaldo gobernador
Restauración Ecológica
Retención
Retención alcalde
Retención de funcionarios
Retiro de árbol
Retiro de lonas
Reubicación de viviendas
Reunión con delegados
Reunión con embajador
Reunión Con Empresarios
Reunión con funcionario federal
Reunión con sindicato
Reunión de seguridad
Reunión Gabinete
Reunión Gabinete De Seguridad
Reunión Nacional
Reunión Sheinbaum
Revocación De Mandato
Rezago Educativo
Río Tula
Robo a comercio
Robo a escuela
Robo a Iglesia
Robo De Agua
Robo de hidrocarburo
Robo de identidad
Robo de luz
Robo de medidor
Robo de taxi
Robo de vehículo
Robo de patrulla
Ruta de la salud
Ruta de la Transformación
Rutas de la Reconstrucción
Salario policías
Salarios
Salarios Regidores
Salón de la Fama
Salón De Plenos
Salud bucal
Salud Mental
Salud sexual
Salud universal
Salud Visual
Sanciones por basura
Sarampión
Secretaría de Ciencia
Secuestro
Secuestros
Seguridad
Seguridad alimentaria
Seguridad peatonal
Seguridad Social
Seguro catastrófico
Seguro de escuelas
Semaforización
Semestre cero
Sentencia
Sentencia A Exdiputado
Sentencia Feminicida
Señalética
Sequía
Servicios municipales
Sesión De Cabildo
Sesión SCJN
Sigapren
SIGEH
Simposio científico
Simulacro Sismo
Síntesis informativa
Sismo
Sistema Anticorrupción
Socavón
Solicitud De Licencia
Solicitud de puentes
Subcontratación
Subejercicio
Sucesión alcaldía
Sucesión Gubernamental
Sueldo alcalde
Suicidio
Suicidio Estudiante
Suicidios
Suministro de energía
Suministro eléctrico
Supervía Colosio
Supervisión de establecimiento
Supervisión de obra
Supervisión de servicios
Supervisión de Transporte
Supervisión sanitaria
Suspensión De Clases
Suspensión de labores
Suspensión de obra
Sustentabilidad
SUTSMI
SUTSMP
Tabulador salarial
Tala clandestina
Taller Cultural
Tamiz neonatal
Tarifa Caasim
Tarifario Feria Pachuca
Tasa de desocupación
Tauromaquia
Taxímetros
Tecnificación De Riego
Teleférico
Tenencia Responsable de Mascotas
Testamento
Tianguis Pueblos Mágicos
Tiendas Escolares
Time Ceramics
Titulación
Toma de protesta
Tomas clandestinas
Topes vehiculares
Torre legislativa
Tortura
Trabajo bajo protesta
Trabajo infantil
Trabajo legislativo
Transición a Fiscalía
Transmisión informe
Transparencia
Transporte pirata
Traslado Aéreo
Tren AIFA
Tren México Querétaro
Turismo Comunitario
Turismo cultural
Turismo de reuniones
Turismo de romance
Turismo Deportivo
Turismo Gastronómico
Turismo inclusivo
Turismo incluyente
Turismo rural
Turismo Sustentable
Unidad Médica Móviles
Uniformes de trabajo
Usos y costumbres
Usurpación De Funciones
Usurpación identitaria
Útiles escolares
Vacaciones
Vacunación
Vacunación Antirrábica
Vallas
Veda pesquera
Verificación vehicular
Verificentros
Vestigio
Vestigios Arqueológicos
Viaje al extranjero
Vialidad En Mal Estado
Vida Saludable
Video Mapping
Videovigilancia
Viernes muy mexicano
Vigilancia De Escuelas
Vigilancia de pipa
Vigilancia de pipas
Vigilancia del gasto público
Vigilancia en bares
Vigilancia Epidemiológica
Vigilancia Sanitaria
Vigilancia Zoosanitaria
Villa Navideña
Vinculación A Proceso
Vinculación Académica
Vinculación Alcalde
Vinculación exalcalde
Vinculación feminicida
Vinculación Laboral
Violación
Violación a la ley
Violencia De Género
Violencia digital
Violencia Escolar
Violencia familiar
Violencia política
Violencia Política De Género
Violencia Vicaria
Viruela Símica
Visa
Visita Sheinbaum
Xantolo
Zanjas Caasim
ZMVM
Zona Arqueológica
Zoológico
Transporte BTR
Elevadores Tuzobús
Caravana migrante
Hoy no circula
Secuestro virtual
Olinia
Cascos Rosas
Ampliación carretera
Apoyo a artistas
Modernización Tuzobús
Economía Creativa
Recuento anual
Accidente autobús
Corrupción de menores
Informe de actividades
Calificación crediticia
Accidente de funcionario
Jubilaciones
Día del Policía
Plataforma tecnológica
Reunión con periodistas
Energía para el Bienestar
Reunificación familiar
Empleabilidad
Inspección Ceresos
Acopio árboles de Navidad
Inspección laboral
Parque Industrial Tulancingo
Vandalismo
Planeación participativa
Clúster aeroespacial
Parque industrial
Saneamiento río Tula
Detención transportista
Deceso alcalde
Asalto frustrado
Filtro escolar
Complejo Deportivo Revolución
Monte Pío
Asociación de Alcaldes
Conflicto religioso
Diagnóstico penitenciario
Pase turístico
Promoción personalizada
Gusano barrenador
Licencia de conducir
Erección Hidalgo
Robo a Banco del Bienestar
Padrón de proveedores
Fuga de reo
Preinscripciones
Financiamiento educativo
Recorrido por instalaciones
Identificación de necesidades
Nivelación de suelo agrícola
Influyentismo
Hosptial-Escuela
Coacción del voto
Fitur
Policía Cibernética
Transparencia para el Pueblo
Coordinación interestatal
Recuperación del maguey
Consejo Estatal de Seguridad
Clúster Minero
Certificación policial
Afluencia Tuzobús
Mujer rural
Carnavales
Día de Reyes
Decomiso de pirotecnia
Área Natural Protegida
Infraestructura escolar
Telebachillerato
Cohecho
Acarreo
Desacato
Prevención de incendios
Diconsa
Enfrentamiento con huachicoleros
Huachitúnel
Magistrado TEEH
Olimpiada de informática
Mal desempeño de alcaldes
Fuga de gasoducto
Inhibidor de señal
Colusión con delincuentes
Andador turístico
Notarías
Consumo de alcohol
Amenazas a periodista
Entrega de patrullas
Localización de identificaciones
Consejo Estatal PC
Consejo Nacional PC
Campeonato de robótica
Revictimización
Solicitud de apoyo
Financiamiento de proyectos culturales
Cooperación UNFPA
Sustitución de tubería
Infraestructura hospitalaria
Dinámica demográfica
Matrícula de circulación
Perfil académico
Robo a cuentahabiente
Colapso de puente
Apropiación cultural
Padrón vehicular
Evaluación del gasto público
Asignación de plazas
Campaña de esterilización
Entrega de uniformes
Reelección
Detención candidato
Semana del periodismo
Precio de garantía
Saneamiento forestal
Aniversario de la Constitución
Aborto
Refinería
Ejecución GN
Termoeléctrica
Reunión SMDIF
Mañanera de Hidalgo
Reunión con partidos
Clausura de empresa contaminante
Apoyo a pueblos originarios
Premio turístico
Disponibilidad de agua
Relación bilateral
Exigen liberación de persona
Activación física
Atención al pueblo
Inclusión laboral
Servidores del Pueblo
Temas varios
Temas internacionales
8M
Marcha 8M
